"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","NL_NAME_2","VARNAME_2","TYPE_2","ENGTYPE_2"
41758,252,"ZMB","Zambia",1,"Central",1,"Chibombo","","","District","District"
41759,252,"ZMB","Zambia",1,"Central",2,"Kabwe","","","District","District"
41760,252,"ZMB","Zambia",1,"Central",3,"Kapiri Mposhi","","","District","District"
41761,252,"ZMB","Zambia",1,"Central",4,"Mkushi","","","District","District"
41762,252,"ZMB","Zambia",1,"Central",5,"Mumbwa","","","District","District"
41763,252,"ZMB","Zambia",1,"Central",6,"Serenje","","","District","District"
41764,252,"ZMB","Zambia",2,"Copperbelt",7,"Chililabombwe","","","District","District"
41765,252,"ZMB","Zambia",2,"Copperbelt",8,"Chingola","","","District","District"
41766,252,"ZMB","Zambia",2,"Copperbelt",9,"Kalulushi","","","District","District"
41767,252,"ZMB","Zambia",2,"Copperbelt",10,"Kitwe","","","District","District"
41768,252,"ZMB","Zambia",2,"Copperbelt",11,"Luanshya","","","District","District"
41769,252,"ZMB","Zambia",2,"Copperbelt",12,"Lufwanyama","","","District","District"
41770,252,"ZMB","Zambia",2,"Copperbelt",13,"Masaiti","","","District","District"
41771,252,"ZMB","Zambia",2,"Copperbelt",14,"MPongwe","","","District","District"
41772,252,"ZMB","Zambia",2,"Copperbelt",15,"Mufulira","","","District","District"
41773,252,"ZMB","Zambia",2,"Copperbelt",16,"Ndola","","","District","District"
41774,252,"ZMB","Zambia",3,"Eastern",17,"Chadiza","","","District","District"
41775,252,"ZMB","Zambia",3,"Eastern",18,"Chama","","","District","District"
41776,252,"ZMB","Zambia",3,"Eastern",19,"Chipata","","","District","District"
41777,252,"ZMB","Zambia",3,"Eastern",20,"Katete","","","District","District"
41778,252,"ZMB","Zambia",3,"Eastern",21,"Lundazi","","","District","District"
41779,252,"ZMB","Zambia",3,"Eastern",22,"Mambwe","","","District","District"
41780,252,"ZMB","Zambia",3,"Eastern",23,"Nyimba","","","District","District"
41781,252,"ZMB","Zambia",3,"Eastern",24,"Petauke","","","District","District"
41782,252,"ZMB","Zambia",4,"Luapula",25,"Chiengi","","","District","District"
41783,252,"ZMB","Zambia",4,"Luapula",26,"Kawambwa","","","District","District"
41784,252,"ZMB","Zambia",4,"Luapula",27,"Mansa","","","District","District"
41785,252,"ZMB","Zambia",4,"Luapula",28,"Milenge","","","District","District"
41786,252,"ZMB","Zambia",4,"Luapula",29,"Mwense","","","District","District"
41787,252,"ZMB","Zambia",4,"Luapula",30,"Nchelenge","","","District","District"
41788,252,"ZMB","Zambia",4,"Luapula",31,"Samfya","","","District","District"
41789,252,"ZMB","Zambia",5,"Lusaka",32,"Chongwe","","","District","District"
41790,252,"ZMB","Zambia",5,"Lusaka",33,"Kafue","","","District","District"
41791,252,"ZMB","Zambia",5,"Lusaka",34,"Luangwa","","","District","District"
41792,252,"ZMB","Zambia",5,"Lusaka",35,"Lusaka","","","District","District"
41793,252,"ZMB","Zambia",6,"North-Western",36,"Chavuma","","","District","District"
41794,252,"ZMB","Zambia",6,"North-Western",37,"Kabompo","","","District","District"
41795,252,"ZMB","Zambia",6,"North-Western",38,"Kasempa","","","District","District"
41796,252,"ZMB","Zambia",6,"North-Western",39,"Mufumbwe","","","District","District"
41797,252,"ZMB","Zambia",6,"North-Western",40,"Mwinilunga","","","District","District"
41798,252,"ZMB","Zambia",6,"North-Western",41,"Solwezi","","","District","District"
41799,252,"ZMB","Zambia",6,"North-Western",42,"Zambezi","","","District","District"
41800,252,"ZMB","Zambia",7,"Northern",43,"Chilubi","","","District","District"
41801,252,"ZMB","Zambia",7,"Northern",44,"Chinsali","","","District","District"
41802,252,"ZMB","Zambia",7,"Northern",45,"Isoka","","","District","District"
41803,252,"ZMB","Zambia",7,"Northern",46,"Kaputa","","","District","District"
41804,252,"ZMB","Zambia",7,"Northern",47,"Kasama","","","District","District"
41805,252,"ZMB","Zambia",7,"Northern",48,"Luwingu","","","District","District"
41806,252,"ZMB","Zambia",7,"Northern",49,"Mbala","","","District","District"
41807,252,"ZMB","Zambia",7,"Northern",50,"Mpika","","","District","District"
41808,252,"ZMB","Zambia",7,"Northern",51,"Mporokoso","","","District","District"
41809,252,"ZMB","Zambia",7,"Northern",52,"Mpulungu","","","District","District"
41810,252,"ZMB","Zambia",7,"Northern",53,"Mungwi","","","District","District"
41811,252,"ZMB","Zambia",7,"Northern",54,"Nakonde","","","District","District"
41812,252,"ZMB","Zambia",8,"Southern",55,"Choma","","","District","District"
41813,252,"ZMB","Zambia",8,"Southern",56,"Gwembe","","","District","District"
41814,252,"ZMB","Zambia",8,"Southern",57,"Itezhi-Tezhi","","","District","District"
41815,252,"ZMB","Zambia",8,"Southern",58,"Kalomo","","","District","District"
41816,252,"ZMB","Zambia",8,"Southern",59,"Kazungula","","","District","District"
41817,252,"ZMB","Zambia",8,"Southern",60,"Livingstone","","","District","District"
41818,252,"ZMB","Zambia",8,"Southern",61,"Mazabuka","","","District","District"
41819,252,"ZMB","Zambia",8,"Southern",62,"Monze","","","District","District"
41820,252,"ZMB","Zambia",8,"Southern",63,"Namwala","","","District","District"
41821,252,"ZMB","Zambia",8,"Southern",64,"Siavonga","","","District","District"
41822,252,"ZMB","Zambia",8,"Southern",65,"Sinazongwe","","","District","District"
41823,252,"ZMB","Zambia",9,"Western",66,"Kalabo","","","District","District"
41824,252,"ZMB","Zambia",9,"Western",67,"Kaoma","","","District","District"
